Day,Time Slot,Room,Course,Course Code,Section(s),Teacher,Duration
Mon,08:30-10:00,C-1,Programming Fundamentals,CS1002,BCS-1C/3C,Mr. Muhammad Kamran,90 min
Mon,08:30-10:00,C-13,Ideology and Consittution of Pakistan,SS1013,BCS-1B/3B,Dr.Abdul Sattar,90 min
Mon,08:30-10:00,C-14,Ideology and Consittution of Pakistan,SS1013,BCS-1G/3G,Muhammad Tahir Rahisd,90 min
Mon,08:30-10:00,C-2,Understanding Holy Quran - I /Ethics - I,SS1021,BCS-3F/5F,TBA,90 min
Mon,08:30-10:00,C-3,Computer Architecture,CS4075,BCS-5C/7C,Ms. Saba Sajid,90 min
Mon,08:30-10:00,C-4,Design and Anlysis of Algorithms,CS2009,BCS-5D/7D,Ms. Abeeda Akram,90 min
Mon,08:30-10:00,C-5,Technical and Business Writting,CSXXX,BCS-5B/7B,Hajra Ikram,90 min
Mon,08:30-10:00,C-6,Technical and Business Writting,CSXXX,BCS-5H/7H,Razm ul Zafar,90 min
Mon,08:30-10:00,C-7,Information Security,CS3002,BCS-7B/9B,Dr. Ammar Haider,90 min
Mon,08:30-10:00,D-11,Compiler Construction,CS4031,BCS-7H/9H,Dr. Faisal Aslam,90 min
Mon,08:30-10:00,Eng Lab-1,Programming Fundamentals Lab,CL1002,BCS-1D/3D,TBA,90 min
Mon,08:30-10:00,Eng Lab-2,Functional English Lab,SL1012,BCS-1B1/3B1,TBA,90 min
Mon,08:30-10:00,Eng Lab-3,Functional English Lab,SL1012,BCS-1G1/3G1,TBA,90 min
Mon,08:30-10:00,Eng Lab-4,Functional Eng Lab,SL1012,BDS-1A2,TBA,90 min
Mon,08:30-10:00,Eng Lab-5,Function English Lab,SL1012,BDS-1C1,TBA,90 min
Mon,08:30-10:00,Eng Lab-6,Artificial Intelligence - Lab,AL2002,BDS-5B,TBA,90 min
Mon,08:30-10:00,F-201,Design and Analysis of Algorithms,CS2009,BSE-5A/7A,Dr. Aasim Qureshi,90 min
Mon,08:30-10:00,F-202,Data Science,CS4048,BCS-7A,Dr. Sobia Tariq Javed,90 min
Mon,08:30-10:00,F-203,Operations Research,MT4031,BCS-9A,TBA,90 min
Mon,08:30-10:00,F-204,Advanced Operating System,CSXXX,MCS-1A,Dr. Zeeshan Ali Khan,90 min
Mon,08:30-10:00,F-205,Calculus and Analytical Geometry,MT1003,BSE-1A,Dr. Muhammad Nasir Ali VF,90 min
Mon,08:30-10:00,F-206,Functional English,SS1012,BSE-1C,TBA,90 min
Mon,08:30-10:00,F-207,Ideology and Constitution of Pakistan,SS1013,BDS-1A,Muznah Saleha,90 min
Mon,08:30-10:00,F-208,Islamic Studies,SS1007,BDS-1B,Dr. Adnan Faisal,90 min
Mon,08:30-10:00,F-209,Computer Organization and Assembly Language,EE2003,BDS-3A,Ms. Sana Fatima,90 min
Mon,08:30-10:00,F-210,Probability and Statistics,MT2005,BDS-3B,Ms. Sarah Ahmad,90 min
Mon,08:30-10:00,F-301,Reserved for Maths,RXXXX,MCS-3A,TBA,90 min
Mon,08:30-10:00,F-302,Understanding of Holy Quran I/Ethics I,SS1021,,Mr. Zia ur Rehman,90 min
Mon,08:30-10:00,F-303,Applied Physics,NS1001,,TBA,90 min
Mon,08:30-10:00,F-304,MS Thesis - I,CY5091,,TBA,90 min
Mon,08:30-10:00,F-305,MS Thesis - I,CY5091,,TBA,90 min
Mon,08:30-10:00,F-306,MS Thesis - I & II,CY5091/502,,TBA,90 min
Mon,08:30-10:00,Lab-1,Functioanl English Lab,SL1012,BCY-1A1,TBA,90 min
Mon,10:00-11:30,C-1,Programming Fundamentals,CS1002,BCS-1B/3B,Mr. Muhammad Kamran,90 min
Mon,10:00-11:30,C-13,Calculus and Analytical Geometry,MT1003,BCS-1G/3G,Mr. Waqar Azeem VF,90 min
Mon,10:00-11:30,C-14,Islamic Studies/Ethics,SS1007,BCS-1C/3C,Qurat ul Ain Fatima,90 min
Mon,10:00-11:30,C-2,Islamic Studies/Ethics,SS1007,BCS-1D/3D,Dr.Adnan Faisal,90 min
Mon,10:00-11:30,C-3,Data Structures,CS2001,BCS-3C/5C,Dr. Saira Karim,90 min
Mon,10:00-11:30,C-4,Linear Algebra,MT1004,BCS-3B/5B,Dr. Akhlaq Ahmad Bhatti,90 min
Mon,10:00-11:30,C-5,Linear Algebra,MT1004,BCS-3E/5E,Dr. Muzamil Hanif VF,90 min
Mon,10:00-11:30,C-6,Applied Human Computer Interaction,CS3014,BCS-5C/7C,Ms. Sukhan Amir,90 min
Mon,10:00-11:30,C-7,Design and Anlysis of Algorithms,CS2009,BCS-5A/7A,Dr. Tahir Ejaz,90 min
Mon,10:00-11:30,D-11,Design and Anlysis of Algorithms,CS2009,BCS-5B/7B,Dr. Aasim Qureshi,90 min
Mon,10:00-11:30,Eng Lab-1,Functional Eng Lab,SL1012,BSE-1C2,TBA,90 min
Mon,10:00-11:30,Eng Lab-2,Functional Eng Lab,SL1012,BDS-1A1,TBA,90 min
Mon,10:00-11:30,Eng Lab-3,Introduction to Data Science Lab,DL2001,BDS-3B,Ms. Eesha tur Razia,90 min
Mon,10:00-11:30,Eng Lab-4,Data Structure and Algorithms,CSXXXX,MCI-1A,TBA,90 min
Mon,10:00-11:30,Eng Lab-5,MS Thesis - I,CY5091,,TBA,90 min
Mon,10:00-11:30,Eng Lab-6,MS Thesis - I,CY5091,,TBA,90 min
Mon,10:00-11:30,F-201,Design and Anlysis of Algorithms,CS2009,BCS-5E/7E,Ms. Abeeda Akram,90 min
Mon,10:00-11:30,F-202,Design and Anlysis of Algorithms,CS2009,BCS-5H/7H,Mr. Usama Alvi,90 min
Mon,10:00-11:30,F-203,Software Engineering,CS3009,BCS-5D/7D,Mr. Zeeshan Nazar,90 min
Mon,10:00-11:30,F-204,Parallel and Distributed Computing,CS3006,BCS-7A/9A,Dr. Abdul Qadeer,90 min
